Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  283,2.63E+07,,,,,,,,,,,,,,,,,,,,,,,,
  284,2.30E+07,,,,,,,,,,,,,,,,,,,,,,,,
  284.9,2.01E+07,,,,,,,,,,,,,,,,,,,,,,,,
  285.8,1.75E+07,,,,,,,,,,,,,,,,,,,,,,,,
  286.8,1.51E+07,,,,,,,,,,,,,,,,,,,,,,,,
  287.7,1.33E+07,,,,,,,,,,,,,,,,,,,,,,,,
  288.7,1.16E+07,,,,,,,,,,,,,,,,,,,,,,,,
  289.6,1.03E+07,,,,,,,,,,,,,,,,,,,,,,,,
  290.6,8.98E+06,,,,,,,,,,,,,,,,,,,,,,,,
  291.5,7.89E+06,,,,,,,,,,,,,,,,,,,,,,,,
  292.5,6.84E+06,,,,,,,,,,,,,,,,,,,,,,,,
  293.4,6.07E+06,,,,,,,,,,,,,,,,,,,,,,,,
  294.3,5.57E+06,,,,,,,,,,,,,,,,,,,,,,,,
  295.3,5.44E+06,,,,,,,,,,,,,,,,,,,,,,,,
  296.2,5.93E+06,,,,,,,,,,,,,,,,,,,,,,,,
  297.2,7.54E+06,,,,,,,,,,,,,,,,,,,,,,,,
  298.1,1.05E+07,,,,,,,,,,,,,,,,,,,,,,,,
  299.1,1.62E+07,,,,,,,,,,,,,,,,,,,,,,,,
  300,2.44E+07,,,,,,,,,,,,,,,,,,,,,,,,
  300.9,3.62E+07,,,,,,,,,,,,,,,,,,,,,,,,
  301.9,5.46E+07,,,,,,,,,,,,,,,,,,,,,,,,
  302.8,7.58E+07,,,,,,,,,,,,,,,,,,,,,,,,
  303.8,1.04E+08,,,,,,,,,,,,,,,,,,,,,,,,
  304.7,1.32E+08,,,,,,,,,,,,,,,,,,,,,,,,
  305.7,1.64E+08,,,,,,,,,,,,,,,,,,,,,,,,
  306.6,1.89E+08,,,,,,,,,,,,,,,,,,,,,,,,
  307.5,2.08E+08,,,,,,,,,,,,,,,,,,,,,,,,
  308.5,2.19E+08,,,,,,,,,,,,,,,,,,,,,,,,
  309.4,2.19E+08,,,,,,,,,,,,,,,,,,,,,,,,
  310.4,2.07E+08,,,,,,,,,,,,,,,,,,,,,,,,
  311.3,1.88E+08,,,,,,,,,,,,,,,,,,,,,,,,
  312.3,1.60E+08,,,,,,,,,,,,,,,,,,,,,,,,
  313.2,1.32E+08,,,,,,,,,,,,,,,,,,,,,,,,
  314.2,1.01E+08,,,,,,,,,,,,,,,,,,,,,,,,
  315.1,7.65E+07,,,,,,,,,,,,,,,,,,,,,,,,
  316,5.61E+07,,,,,,,,,,,,,,,,,,,,,,,,
  317,3.89E+07,,,,,,,,,,,,,,,,,,,,,,,,
  317.9,2.81E+07,,,,,,,,,,,,,,,,,,,,,,,,
  318.9,2.05E+07,,,,,,,,,,,,,,,,,,,,,,,,
  319.8,1.67E+07,,,,,,,,,,,,,,,,,,,,,,,,
  320.8,1.46E+07,,,,,,,,,,,,,,,,,,,,,,,,
  321.7,1.40E+07,,,,,,,,,,,,,,,,,,,,,,,,
  322.6,1.40E+07,,,,,,,,,,,,,,,,,,,,,,,,
  323.6,1.42E+07,,,,,,,,,,,,,,,,,,,,,,,,
  324.5,1.42E+07,,,,,,,,,,,,,,,,,,,,,,,,
  325.5,1.41E+07,,,,,,,,,,,,,,,,,,,,,,,,
  326.4,1.38E+07,,,,,,,,,,,,,,,,,,,,,,,,
  327.4,1.34E+07,,,,,,,,,,,,,,,,,,,,,,,,
  328.3,1.30E+07,,,,,,,,,,,,,,,,,,,,,,,,
  329.2,1.27E+07,,,,,,,,,,,,,,,,,,,,,,,,
  330.2,1.25E+07,,,,,,,,,,,,,,,,,,,,,,,,
  331.1,1.25E+07,,,,,,,,,,,,,,,,,,,,,,,,
  332.1,1.27E+07,,,,,,,,,,,,,,,,,,,,,,,,
  333,1.29E+07,,,,,,,,,,,,,,,,,,,,,,,,
  334,1.30E+07,,,,,,,,,,,,,,,,,,,,,,,,
  334.9,1.30E+07,,,,,,,,,,,,,,,,,,,,,,,,
  335.8,1.27E+07,,,,,,,,,,,,,,,,,,,,,,,,
  336.8,1.21E+07,,,,,,,,,,,,,,,,,,,,,,,,
  337.7,1.13E+07,,,,,,,,,,,,,,,,,,,,,,,,
  338.7,1.01E+07,,,,,,,,,,,,,,,,,,,,,,,,
  339.6,8.89E+06,,,,,,,,,,,,,,,,,,,,,,,,
  340.6,7.51E+06,,,,,,,,,,,,,,,,,,,,,,,,
