Wavelength,Spectra,,,
182.78,1.96E-02,,,
182.82,1.48E-01,,,
182.87,1.60E+00,,,
182.91,9.73E+00,,,
182.95,5.37E+01,,,
182.99,2.69E+02,,,
183.03,1.23E+03,,,
183.07,5.10E+03,,,
183.11,1.93E+04,,,
183.15,6.61E+04,,,
183.19,2.06E+05,,,
183.24,7.50E+05,,,
183.28,1.89E+06,,,
183.32,4.34E+06,,,
183.36,9.05E+06,,,
183.4,1.72E+07,,,
183.44,2.96E+07,,,
183.48,4.65E+07,,,
183.52,6.63E+07,,,
183.56,8.61E+07,,,
183.61,1.05E+08,,,
183.65,1.10E+08,,,
183.69,1.06E+08,,,
183.73,9.36E+07,,,
183.77,7.89E+07,,,
183.81,6.81E+07,,,
183.85,6.80E+07,,,
183.89,8.44E+07,,,
183.93,1.21E+08,,,
183.97,1.76E+08,,,
184.02,2.63E+08,,,
184.06,3.32E+08,,,
184.1,3.87E+08,,,
184.14,4.19E+08,,,
184.18,4.29E+08,,,
184.22,4.28E+08,,,
184.26,4.33E+08,,,
184.3,4.65E+08,,,
184.34,5.41E+08,,,
184.39,7.11E+08,,,
184.43,9.07E+08,,,
184.47,1.15E+09,,,
184.51,1.43E+09,,,
184.55,1.75E+09,,,
184.59,2.10E+09,,,
184.63,2.45E+09,,,
184.67,2.79E+09,,,
184.71,3.05E+09,,,
184.76,3.24E+09,,,
184.8,3.28E+09,,,
184.84,3.27E+09,,,
184.88,3.30E+09,,,
184.92,3.42E+09,,,
184.96,3.65E+09,,,
185,3.92E+09,,,
185.04,4.11E+09,,,
185.08,4.12E+09,,,
185.13,3.79E+09,,,
185.17,3.30E+09,,,
185.21,2.70E+09,,,
185.25,2.09E+09,,,
185.29,1.53E+09,,,
185.33,1.07E+09,,,
185.37,7.17E+08,,,
185.41,4.57E+08,,,
185.45,2.76E+08,,,
185.5,1.35E+08,,,
185.54,7.03E+07,,,
185.58,3.40E+07,,,
185.62,1.52E+07,,,
185.66,6.26E+06,,,
185.7,2.37E+06,,,
185.74,8.26E+05,,,
185.78,2.64E+05,,,
185.82,7.72E+04,,,
185.87,1.48E+04,,,
185.91,3.56E+03,,,
185.95,7.88E+02,,,
185.99,1.60E+02,,,
186.03,2.98E+01,,,
186.07,5.09E+00,,,
186.11,7.98E-01,,,
186.15,1.15E-01,,,
186.19,1.51E-02,,,
186.24,1.06E-03,,,
186.28,1.14E-04,,,
186.32,1.12E-05,,,
186.36,1.10E-06,,,
186.4,1.13E-06,,,
186.44,1.18E-05,,,
186.48,1.21E-04,,,
186.52,1.12E-03,,,
186.56,9.53E-03,,,
186.6,7.39E-02,,,
186.65,8.41E-01,,,
186.69,5.32E+00,,,
186.73,3.07E+01,,,
186.77,1.62E+02,,,
186.81,7.77E+02,,,
186.85,3.41E+03,,,
186.89,1.37E+04,,,
186.93,5.00E+04,,,
186.97,1.67E+05,,,
187.02,6.64E+05,,,
187.06,1.81E+06,,,
187.1,4.49E+06,,,
187.14,1.02E+07,,,
187.18,2.11E+07,,,
187.22,3.99E+07,,,
187.26,6.90E+07,,,
187.3,1.09E+08,,,
187.34,1.57E+08,,,
187.39,2.17E+08,,,
187.43,2.55E+08,,,
187.47,2.73E+08,,,
187.51,2.66E+08,,,
187.55,2.38E+08,,,
187.59,1.94E+08,,,
187.63,1.44E+08,,,
187.67,9.79E+07,,,
187.71,6.08E+07,,,
187.76,2.97E+07,,,
187.8,1.57E+07,,,
187.84,8.87E+06,,,
187.88,7.15E+06,,,
187.92,9.33E+06,,,
187.96,1.48E+07,,,
188,2.34E+07,,,
188.04,3.41E+07,,,
188.08,4.58E+07,,,
188.13,5.82E+07,,,
188.17,6.37E+07,,,
188.21,6.37E+07,,,
188.25,5.82E+07,,,
188.29,4.85E+07,,,
188.33,3.70E+07,,,
188.37,2.58E+07,,,
188.41,1.64E+07,,,
188.45,9.55E+06,,,
188.5,4.27E+06,,,
188.54,2.03E+06,,,
188.58,8.78E+05,,,
188.62,3.48E+05,,,
188.66,1.26E+05,,,
188.7,4.16E+04,,,
188.74,1.26E+04,,,
188.78,3.47E+03,,,
188.82,8.74E+02,,,
188.87,1.38E+02,,,
188.91,2.83E+01,,,
188.95,5.32E+00,,,
188.99,9.13E-01,,,
189.03,1.44E-01,,,
189.07,2.09E-02,,,
189.11,3.10E-03,,,
189.15,2.27E-03,,,
189.19,1.55E-02,,,
189.23,1.18E-01,,,
189.28,1.33E+00,,,
