wavelength,CR1000Y
180,0
180.0333333,0
180.0666667,0
180.1,0
180.1333333,0
180.1666667,0
180.2,0
180.2333333,0
180.2666667,0
180.3,0
180.3333333,0
180.3666667,0
180.4,0
180.4333333,0
180.4666667,0
180.5,0
180.5333333,0
180.5666667,0
180.6,0
180.6333333,0
180.6666667,0
180.7,0
180.7333333,0
180.7666667,0
180.8,0
180.8333333,0
180.8666667,0
180.9,0
180.9333333,0
180.9666667,0
181,0
181.0333333,0
181.0666667,0
181.1,0
181.1333333,0
181.1666667,0
181.2,0
181.2333333,0
181.2666667,0
181.3,0
181.3333333,0
181.3666667,0
181.4,0
181.4333333,0
181.4666667,0
181.5,0
181.5333333,0
181.5666667,0
181.6,0
181.6333333,0
181.6666667,0
181.7,0
181.7333333,0
181.7666667,0
181.8,0
181.8333333,0
181.8666667,0
181.9,0
181.9333333,0
181.9666667,0
182,0
182.0333333,0
182.0666667,0
182.1,0
182.1333333,0
182.1666667,0
182.2,0
182.2333333,0
182.2666667,0
182.3,0
182.3333333,0
182.3666667,0
182.4,0
182.4333333,0
182.4666667,0
182.5,0
182.5333333,0
182.5666667,0
182.6,0
182.6333333,0
182.6666667,0
182.7,0
182.7333333,0
182.7666667,0
182.8,0
182.8333333,0
182.8666667,0
182.9,0
182.9333333,0
182.9666667,0
183,0
183.0333333,0
183.0666667,0
183.1,0
183.1333333,0
183.1666667,0
183.2,0
183.2333333,0
183.2666667,0
183.3,0
183.3333333,0
183.3666667,0
183.4,0
183.4333333,0
183.4666667,0
183.5,0
183.5333333,0
183.5666667,0
183.6,0
183.6333333,0
183.6666667,0
183.7,0
183.7333333,0
183.7666667,0
183.8,0
183.8333333,0
183.8666667,0
183.9,0
183.9333333,0
183.9666667,0
184,0
184.0333333,0
184.0666667,0
184.1,0
184.1333333,0
184.1666667,0
184.2,0
184.2333333,0
184.2666667,0
184.3,0
184.3333333,0
184.3666667,0
184.4,0
184.4333333,0
184.4666667,0
184.5,0
184.5333333,0
184.5666667,0
184.6,0
184.6333333,0
184.6666667,0
184.7,0
184.7333333,0
184.7666667,0
184.8,0
184.8333333,0
184.8666667,0
184.9,0
184.9333333,0
184.9666667,0
185,0
185.0333333,0
185.0666667,0
185.1,0
185.1333333,0
185.1666667,0
185.2,0
185.2333333,0
185.2666667,0
185.3,0
185.3333333,0
185.3666667,0
185.4,0
185.4333333,0
185.4666667,0
185.5,0
185.5333333,0
185.5666667,0
185.6,0
185.6333333,0
185.6666667,0
185.7,0
185.7333333,0
185.7666667,0
185.8,0
185.8333333,0
185.8666667,0
185.9,0
185.9333333,0
185.9666667,0
186,0
186.0333333,0
186.0666667,0
186.1,0
186.1333333,0
186.1666667,0
186.2,0
186.2333333,0
186.2666667,0
186.3,0
186.3333333,0
186.3666667,0
186.4,0
186.4333333,0
186.4666667,0
186.5,0
186.5333333,0
186.5666667,0
186.6,0
186.6333333,0
186.6666667,0
186.7,0
186.7333333,0
186.7666667,0
186.8,0
186.8333333,0
186.8666667,0
186.9,0
186.9333333,0
186.9666667,0
187,0
187.0333333,0
187.0666667,0
187.1,0
187.1333333,0
187.1666667,0
187.2,0
187.2333333,0
187.2666667,0
187.3,0
187.3333333,0
187.3666667,0
187.4,0
187.4333333,0
187.4666667,0
187.5,0
187.5333333,0
187.5666667,0
187.6,0
187.6333333,0
187.6666667,0
187.7,0
187.7333333,0
187.7666667,0
187.8,0
187.8333333,15.04661831
187.8666667,25.01551272
187.9,36.9226316
187.9333333,51.90301541
187.9666667,71.54303679
188,97.52869933
188.0333333,127.8991223
188.0666667,150.8657439
188.1,153.0735772
188.1333333,130.3288711
188.1666667,96.45380178
188.2,67.22630455
188.2333333,51.0300656
188.2666667,45.50156268
188.3,47.41781479
188.3333333,53.19235236
188.3666667,58.84530942
188.4,60.60352672
188.4333333,58.33309542
188.4666667,54.83660271
188.5,52.80977833
188.5333333,52.9432439
188.5666667,54.72756675
188.6,57.48869804
188.6333333,59.48135761
188.6666667,58.4900279
188.7,54.69456528
188.7333333,60.46342488
188.7666667,92.02866367
188.8,155.2144534
188.8333333,218.1797953
188.8666667,240.6104118
188.9,202.5301769
188.9333333,136.7351716
188.9666667,84.29509239
189,67.17530899
189.0333333,71.26512573
189.0666667,78.62971401
189.1,79.58555781
189.1333333,75.93159599
189.1666667,70.31267336
189.2,65.29005902
189.2333333,63.33873232
189.2666667,66.68093011
189.3,73.84258294
189.3333333,80.51746198
189.3666667,82.86110676
189.4,82.24310775
189.4333333,82.97890368
189.4666667,88.47300003
189.5,95.79372598
189.5333333,99.40277927
189.5666667,95.45861116
189.6,88.16583765
189.6333333,84.10021694
189.6666667,87.60930546
189.7,95.58333556
189.7333333,103.3586363
189.7666667,107.5151741
189.8,107.6132571
189.8333333,103.6594724
189.8666667,96.42626295
189.9,88.0206865
189.9333333,80.66188578
189.9666667,75.74318059
190,73.59929929
190.0333333,74.44065603
190.0666667,77.32734006
190.1,80.2291516
190.1333333,81.16570644
190.1666667,79.36362697
190.2,74.89396631
190.2333333,68.05975017
190.2666667,61.0192615
190.3,56.88064327
190.3333333,58.39019469
190.3666667,66.0898061
190.4,79.70737646
190.4333333,97.68747651
190.4666667,113.0994201
190.5,117.6070918
190.5333333,106.9295939
190.5666667,88.81044082
190.6,73.18970653
190.6333333,66.273697
190.6666667,66.3310632
190.7,70.62399231
190.7333333,76.96313108
190.7666667,84.00758363
190.8,90.49325702
190.8333333,95.2735636
190.8666667,97.33545096
190.9,95.87770232
190.9333333,93.58289667
190.9666667,96.04931881
191,108.1209927
191.0333333,125.4694411
191.0666667,138.138965
191.1,137.6512878
191.1333333,126.9409705
191.1666667,114.0154982
191.2,105.2561622
191.2333333,98.66696261
191.2666667,89.59871217
191.3,77.22073003
191.3333333,74.31597607
191.3666667,96.66903374
191.4,148.0512485
191.4333333,201.9255
191.4666667,227.2370139
191.5,210.9563846
191.5333333,172.7671291
191.5666667,135.5568138
191.6,111.9801219
191.6333333,101.1595776
191.6666667,101.2211024
191.7,108.8156538
191.7333333,119.164043
191.7666667,127.6516614
191.8,132.6320748
191.8333333,134.5664144
191.8666667,133.9318799
191.9,130.9544725
191.9333333,125.730707
191.9666667,119.0324535
192,115.6586437
192.0333333,121.8924392
192.0666667,140.6056235
192.1,160.5183228
192.1333333,166.6907151
192.1666667,151.4135587
192.2,127.9895292
192.2333333,113.456979
192.2666667,115.6906214
192.3,123.619206
192.3333333,123.9952168
192.3666667,112.8154904
192.4,99.8847679
192.4333333,95.98771869
192.4666667,107.8925568
192.5,137.9932974
192.5333333,187.4487403
192.5666667,241.4642816
192.6,272.5564196
192.6333333,256.5079855
192.6666667,205.4156453
192.7,152.3401651
192.7333333,125.9201536
192.7666667,123.2478271
192.8,128.3740927
192.8333333,130.0793971
192.8666667,139.3559006
192.9,173.6626608
192.9333333,277.8297934
192.9666667,585.3956563
193,1247.003188
193.0333333,2215.995343
193.0666667,2995.099316
193.1,3030.588451
193.1333333,2198.96717
193.1666667,1080.830359
193.2,308.9434994
193.2333333,101.5632987
193.2666667,185.2432068
193.3,268.7350431
193.3333333,253.0379705
193.3666667,205.0891028
193.4,191.7277701
193.4333333,217.9697125
193.4666667,250.1664722
193.5,258.9857101
193.5333333,251.3180907
193.5666667,250.2705538
193.6,272.1697796
193.6333333,298.7339911
193.6666667,300.7875613
193.7,260.6560539
193.7333333,200.8602836
193.7666667,152.6556985
193.8,134.6256726
193.8333333,134.3983244
193.8666667,135.064841
193.9,128.1871037
193.9333333,120.0485074
193.9666667,118.2184273
194,123.5688048
194.0333333,128.5814539
194.0666667,125.6141708
194.1,114.9300488
194.1333333,103.9690034
194.1666667,99.86279763
194.2,102.9822532
194.2333333,109.263535
194.2666667,114.9656099
194.3,119.46005
194.3333333,123.5769669
194.3666667,127.6871682
194.4,129.6919792
194.4333333,126.68066
194.4666667,118.0304103
194.5,111.438734
194.5333333,116.4781049
194.5666667,136.5149172
194.6,159.2338809
194.6333333,169.9834334
194.6666667,163.473808
194.7,151.1495147
194.7333333,145.9314654
194.7666667,150.9770919
194.8,156.9240064
194.8333333,154.0747801
194.8666667,142.4837058
194.9,131.230608
194.9333333,128.944913
194.9666667,134.6531434
195,140.9833807
195.0333333,141.7019621
195.0666667,140.4756968
195.1,145.6677701
195.1333333,163.3358186
195.1666667,187.1041259
195.2,206.4731483
195.2333333,213.2391689
195.2666667,207.5906864
195.3,191.6352895
195.3333333,169.2110065
195.3666667,148.5272346
195.4,138.414773
195.4333333,142.4626211
195.4666667,154.9303897
195.5,169.1464938
195.5333333,179.5804432
195.5666667,182.1531553
195.6,173.3351163
195.6333333,158.5653607
195.6666667,151.4847553
195.7,164.5632781
195.7333333,192.7713936
195.7666667,219.6072141
195.8,230.7066355
195.8333333,229.7040736
195.8666667,228.5932269
195.9,236.5657813
195.9333333,248.0542203
195.9666667,252.7249566
196,244.5431616
196.0333333,232.6887565
196.0666667,229.6822474
196.1,240.7541646
196.1333333,253.3433694
196.1666667,252.3505013
196.2,232.7050579
196.2333333,206.5405916
196.2666667,187.4030957
196.3,179.3055002
196.3333333,174.6065137
196.3666667,165.3894155
196.4,151.6893345
196.4333333,140.5046358
196.4666667,138.3264705
196.5,143.382346
196.5333333,148.738361
196.5666667,148.4305656
196.6,144.0760416
196.6333333,140.6246301
196.6666667,142.0405556
196.7,147.4273042
196.7333333,154.4137104
196.7666667,161.1634786
196.8,167.6102383
196.8333333,174.0492451
196.8666667,179.8985667
196.9,182.5766933
196.9333333,179.2767222
196.9666667,170.5934038
197,162.567674
197.0333333,161.5205521
197.0666667,167.6169474
197.1,174.0124436
197.1333333,173.8776144
197.1666667,166.8142501
197.2,157.6484759
197.2333333,150.9552244
197.2666667,147.2829838
197.3,144.8616705
197.3333333,142.3916488
197.3666667,141.8317113
197.4,146.4501763
197.4333333,157.8494928
197.4666667,170.2899191
197.5,176.0160812
197.5333333,170.3849992
197.5666667,158.045363
197.6,145.3599017
197.6333333,136.8373571
197.6666667,133.1667388
197.7,134.5347123
197.7333333,139.5556019
197.7666667,144.5673925
197.8,145.8999949
197.8333333,143.9941976
197.8666667,143.5153384
197.9,148.8810758
197.9333333,158.4201468
197.9666667,166.0183284
198,166.2253988
198.0333333,160.2218581
198.0666667,152.590555
198.1,147.4325463
198.1333333,145.9401867
198.1666667,148.2753583
198.2,153.8057897
198.2333333,158.8553764
198.2666667,159.0233082
198.3,152.6042908
198.3333333,144.9176458
198.3666667,142.3693255
198.4,147.303393
198.4333333,154.7354377
198.4666667,159.0335216
198.5,159.0397809
198.5333333,159.2744479
198.5666667,164.3264037
198.6,173.0950196
198.6333333,179.3669513
198.6666667,177.4227301
198.7,169.2141204
198.7333333,161.555872
198.7666667,160.3482846
198.8,164.2952178
198.8333333,168.9263634
198.8666667,174.5899198
198.9,204.8983351
198.9333333,290.4490211
198.9666667,437.7027297
199,575.0609388
199.0333333,615.4249796
199.0666667,521.9399666
199.1,368.516976
199.1333333,243.0821452
199.1666667,188.8601476
199.2,180.557097
199.2333333,187.6367678
199.2666667,194.4606587
199.3,201.4615706
199.3333333,209.7202933
199.3666667,218.1140463
199.4,223.8439704
199.4333333,224.3996384
199.4666667,220.2606424
199.5,213.4959792
199.5333333,206.0793556
199.5666667,199.3369513
199.6,194.3587772
199.6333333,191.5030351
199.6666667,188.2590989
199.7,181.4215459
199.7333333,172.2224252
199.7666667,173.6019536
199.8,200.2430986
199.8333333,251.047199
199.8666667,296.3305287
199.9,304.4983445
199.9333333,284.3116277
199.9666667,295.5559572
200,396.5396037
200.0333333,556.4465557
200.0666667,665.2646977
200.1,621.9949507
200.1333333,455.8528154
200.1666667,277.0322777
200.2,182.7607225
200.2333333,170.5602806
200.2666667,195.2001734
200.3,218.3214649
200.3333333,234.1426559
200.3666667,246.3041853
200.4,256.7420313
200.4333333,262.1277763
200.4666667,258.1433242
200.5,244.1650805
200.5333333,227.3018472
200.5666667,215.6314057
200.6,217.1081465
200.6333333,239.5078485
200.6666667,289.8323371
200.7,357.2148033
200.7333333,412.7008913
200.7666667,428.5991072
200.8,404.5546071
200.8333333,359.5609211
200.8666667,312.67623
200.9,280.1405994
200.9333333,276.8152643
200.9666667,314.2650371
201,386.5661049
201.0333333,482.0008361
201.0666667,582.8000904
201.1,649.8922126
201.1333333,639.6328283
201.1666667,540.4959439
201.2,416.8235953
201.2333333,343.2444241
201.2666667,349.4733643
201.3,392.5351789
201.3333333,423.9807087
201.3666667,428.4675077
201.4,427.9012289
201.4333333,444.93388
201.4666667,483.1441755
201.5,531.1431866
201.5333333,577.7627885
201.5666667,617.617286
201.6,648.459557
201.6333333,667.7725407
201.6666667,671.2478019
201.7,653.9170766
201.7333333,620.53075
201.7666667,613.8664284
201.8,685.9252104
201.8333333,852.6993382
201.8666667,1036.542222
201.9,1145.494872
201.9333333,1150.234623
201.9666667,1132.064555
202,1181.410939
202.0333333,1315.008952
202.0666667,1459.670305
202.1,1542.076644
202.1333333,1581.621599
202.1666667,1676.342558
202.2,1917.597129
202.2333333,2302.849564
202.2666667,2774.530368
202.3,3303.11816
202.3333333,4045.07207
202.3666667,5230.871873
202.4,6982.878999
202.4333333,8965.862127
202.4666667,10723.95172
202.5,11947.89223
202.5333333,12737.33183
202.5666667,13261.14358
202.6,13526.11041
202.6333333,13234.31994
202.6666667,12064.49257
202.7,10089.27808
202.7333333,7890.006288
202.7666667,6060.72581
202.8,4797.856435
202.8333333,3942.242261
202.8666667,3329.31071
202.9,2872.290674
202.9333333,2532.383671
202.9666667,2272.146445
203,2058.577568
203.0333333,1860.533517
203.0666667,1657.24665
203.1,1473.932053
203.1333333,1348.528801
