Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  289.8,7.85E+07,,,,,,,,,,,,,,,,,,,,,,,,
  290.8,5.20E+07,,,,,,,,,,,,,,,,,,,,,,,,
  291.8,3.60E+07,,,,,,,,,,,,,,,,,,,,,,,,
  292.9,2.60E+07,,,,,,,,,,,,,,,,,,,,,,,,
  293.9,2.09E+07,,,,,,,,,,,,,,,,,,,,,,,,
  294.9,1.81E+07,,,,,,,,,,,,,,,,,,,,,,,,
  295.9,1.69E+07,,,,,,,,,,,,,,,,,,,,,,,,
  296.9,1.72E+07,,,,,,,,,,,,,,,,,,,,,,,,
  298,1.97E+07,,,,,,,,,,,,,,,,,,,,,,,,
  299,2.47E+07,,,,,,,,,,,,,,,,,,,,,,,,
  300,3.31E+07,,,,,,,,,,,,,,,,,,,,,,,,
  301,4.58E+07,,,,,,,,,,,,,,,,,,,,,,,,
  302,6.30E+07,,,,,,,,,,,,,,,,,,,,,,,,
  303.1,8.69E+07,,,,,,,,,,,,,,,,,,,,,,,,
  304.1,1.12E+08,,,,,,,,,,,,,,,,,,,,,,,,
  305.1,1.38E+08,,,,,,,,,,,,,,,,,,,,,,,,
  306.1,1.62E+08,,,,,,,,,,,,,,,,,,,,,,,,
  307.1,1.82E+08,,,,,,,,,,,,,,,,,,,,,,,,
  308.2,1.95E+08,,,,,,,,,,,,,,,,,,,,,,,,
  309.2,1.97E+08,,,,,,,,,,,,,,,,,,,,,,,,
  310.2,1.90E+08,,,,,,,,,,,,,,,,,,,,,,,,
  311.2,1.74E+08,,,,,,,,,,,,,,,,,,,,,,,,
  312.2,1.52E+08,,,,,,,,,,,,,,,,,,,,,,,,
  313.3,1.24E+08,,,,,,,,,,,,,,,,,,,,,,,,
  314.3,9.87E+07,,,,,,,,,,,,,,,,,,,,,,,,
  315.3,7.50E+07,,,,,,,,,,,,,,,,,,,,,,,,
  316.3,5.50E+07,,,,,,,,,,,,,,,,,,,,,,,,
  317.3,3.93E+07,,,,,,,,,,,,,,,,,,,,,,,,
  318.4,2.72E+07,,,,,,,,,,,,,,,,,,,,,,,,
  319.4,2.01E+07,,,,,,,,,,,,,,,,,,,,,,,,
  320.4,1.61E+07,,,,,,,,,,,,,,,,,,,,,,,,
  321.4,1.42E+07,,,,,,,,,,,,,,,,,,,,,,,,
  322.4,1.38E+07,,,,,,,,,,,,,,,,,,,,,,,,
  323.5,1.42E+07,,,,,,,,,,,,,,,,,,,,,,,,
  324.5,1.49E+07,,,,,,,,,,,,,,,,,,,,,,,,
  325.5,1.58E+07,,,,,,,,,,,,,,,,,,,,,,,,
  326.5,1.65E+07,,,,,,,,,,,,,,,,,,,,,,,,
  327.6,1.72E+07,,,,,,,,,,,,,,,,,,,,,,,,
  328.6,1.76E+07,,,,,,,,,,,,,,,,,,,,,,,,
  329.6,1.79E+07,,,,,,,,,,,,,,,,,,,,,,,,
  330.6,1.79E+07,,,,,,,,,,,,,,,,,,,,,,,,
  331.6,1.78E+07,,,,,,,,,,,,,,,,,,,,,,,,
  332.7,1.74E+07,,,,,,,,,,,,,,,,,,,,,,,,
  333.7,1.68E+07,,,,,,,,,,,,,,,,,,,,,,,,
  334.7,1.59E+07,,,,,,,,,,,,,,,,,,,,,,,,
  335.7,1.48E+07,,,,,,,,,,,,,,,,,,,,,,,,
  336.7,1.34E+07,,,,,,,,,,,,,,,,,,,,,,,,
  337.8,1.17E+07,,,,,,,,,,,,,,,,,,,,,,,,
  338.8,1.01E+07,,,,,,,,,,,,,,,,,,,,,,,,
  339.8,8.51E+06,,,,,,,,,,,,,,,,,,,,,,,,
  340.8,7.03E+06,,,,,,,,,,,,,,,,,,,,,,,,
  341.8,5.73E+06,,,,,,,,,,,,,,,,,,,,,,,,
  342.9,4.54E+06,,,,,,,,,,,,,,,,,,,,,,,,
  343.9,3.68E+06,,,,,,,,,,,,,,,,,,,,,,,,
  344.9,3.03E+06,,,,,,,,,,,,,,,,,,,,,,,,
  345.9,2.57E+06,,,,,,,,,,,,,,,,,,,,,,,,
  346.9,2.25E+06,,,,,,,,,,,,,,,,,,,,,,,,
  348,2.03E+06,,,,,,,,,,,,,,,,,,,,,,,,
  349,1.94E+06,,,,,,,,,,,,,,,,,,,,,,,,
  350,1.91E+06,,,,,,,,,,,,,,,,,,,,,,,,
  351,1.94E+06,,,,,,,,,,,,,,,,,,,,,,,,
  352,2.03E+06,,,,,,,,,,,,,,,,,,,,,,,,
  353.1,2.16E+06,,,,,,,,,,,,,,,,,,,,,,,,
  354.1,2.30E+06,,,,,,,,,,,,,,,,,,,,,,,,
  355.1,2.44E+06,,,,,,,,,,,,,,,,,,,,,,,,
  356.1,2.57E+06,,,,,,,,,,,,,,,,,,,,,,,,
  357.1,2.66E+06,,,,,,,,,,,,,,,,,,,,,,,,
  358.2,2.70E+06,,,,,,,,,,,,,,,,,,,,,,,,
  359.2,2.67E+06,,,,,,,,,,,,,,,,,,,,,,,,
  360.2,2.58E+06,,,,,,,,,,,,,,,,,,,,,,,,
  361.2,2.42E+06,,,,,,,,,,,,,,,,,,,,,,,,
  362.2,2.22E+06,,,,,,,,,,,,,,,,,,,,,,,,
  363.3,1.98E+06,,,,,,,,,,,,,,,,,,,,,,,,
  364.3,1.76E+06,,,,,,,,,,,,,,,,,,,,,,,,
  365.3,1.55E+06,,,,,,,,,,,,,,,,,,,,,,,,
  366.3,1.39E+06,,,,,,,,,,,,,,,,,,,,,,,,
  367.3,1.29E+06,,,,,,,,,,,,,,,,,,,,,,,,
  368.4,1.25E+06,,,,,,,,,,,,,,,,,,,,,,,,
  369.4,1.30E+06,,,,,,,,,,,,,,,,,,,,,,,,
  370.4,1.42E+06,,,,,,,,,,,,,,,,,,,,,,,,
  371.4,1.63E+06,,,,,,,,,,,,,,,,,,,,,,,,
  372.4,1.93E+06,,,,,,,,,,,,,,,,,,,,,,,,
  373.5,2.37E+06,,,,,,,,,,,,,,,,,,,,,,,,
  374.5,2.88E+06,,,,,,,,,,,,,,,,,,,,,,,,
  375.5,3.52E+06,,,,,,,,,,,,,,,,,,,,,,,,
  376.5,4.30E+06,,,,,,,,,,,,,,,,,,,,,,,,
  377.6,5.37E+06,,,,,,,,,,,,,,,,,,,,,,,,
  378.6,6.58E+06,,,,,,,,,,,,,,,,,,,,,,,,
  379.6,8.11E+06,,,,,,,,,,,,,,,,,,,,,,,,
  380.6,1.01E+07,,,,,,,,,,,,,,,,,,,,,,,,
  381.6,1.26E+07,,,,,,,,,,,,,,,,,,,,,,,,
  382.7,1.62E+07,,,,,,,,,,,,,,,,,,,,,,,,
  383.7,2.05E+07,,,,,,,,,,,,,,,,,,,,,,,,
  384.7,2.60E+07,,,,,,,,,,,,,,,,,,,,,,,,
  385.7,3.28E+07,,,,,,,,,,,,,,,,,,,,,,,,
  386.7,4.10E+07,,,,,,,,,,,,,,,,,,,,,,,,
  387.8,5.16E+07,,,,,,,,,,,,,,,,,,,,,,,,
  388.8,6.23E+07,,,,,,,,,,,,,,,,,,,,,,,,
  389.8,7.37E+07,,,,,,,,,,,,,,,,,,,,,,,,
  390.8,8.52E+07,,,,,,,,,,,,,,,,,,,,,,,,
  391.8,9.59E+07,,,,,,,,,,,,,,,,,,,,,,,,
  392.9,1.06E+08,,,,,,,,,,,,,,,,,,,,,,,,
  393.9,1.13E+08,,,,,,,,,,,,,,,,,,,,,,,,
  394.9,1.16E+08,,,,,,,,,,,,,,,,,,,,,,,,
  395.9,1.17E+08,,,,,,,,,,,,,,,,,,,,,,,,
  396.9,1.14E+08,,,,,,,,,,,,,,,,,,,,,,,,
  398,1.07E+08,,,,,,,,,,,,,,,,,,,,,,,,
  399,9.80E+07,,,,,,,,,,,,,,,,,,,,,,,,
  400,8.72E+07,,,,,,,,,,,,,,,,,,,,,,,,
  401,7.53E+07,,,,,,,,,,,,,,,,,,,,,,,,
  402,6.31E+07,,,,,,,,,,,,,,,,,,,,,,,,
  403.1,5.02E+07,,,,,,,,,,,,,,,,,,,,,,,,
  404.1,3.96E+07,,,,,,,,,,,,,,,,,,,,,,,,
  405.1,3.03E+07,,,,,,,,,,,,,,,,,,,,,,,,
  406.1,2.25E+07,,,,,,,,,,,,,,,,,,,,,,,,
  407.1,1.63E+07,,,,,,,,,,,,,,,,,,,,,,,,
  408.2,1.10E+07,,,,,,,,,,,,,,,,,,,,,,,,
  409.2,7.50E+06,,,,,,,,,,,,,,,,,,,,,,,,
  410.2,4.99E+06,,,,,,,,,,,,,,,,,,,,,,,,
  411.2,3.25E+06,,,,,,,,,,,,,,,,,,,,,,,,
  412.2,2.08E+06,,,,,,,,,,,,,,,,,,,,,,,,
